"","parcela","site","produt","log_produt","fdis","fric","fdiv","cwm_wd","cwm_sla","cwm_ldmc","fdis_wd","fric_wd","fdis_sla","fric_sla","fdis_ldmc","fric_ldmc","SR","SESPD","SESMPD","SESMNTD","PSV","PSR","PSE","PSEab","PSC","dcF","dcP","raoq","RaoQ_WD","RaoQ_SLA","RaoQ_LDMC","n_trees","log_biomass"
"14","ML11","ML",105932.506582586,5.02502924871159,0.395576413032344,0.174660606056177,0.331193542515011,0.478054178454545,76.4200036681818,0.446335913818182,0.111232783376904,0.543239172082939,0.281214010277603,1.91777862360485,0.211943877574975,0.632701906879223,3,-4.90515515720612,-5.38058801817431,-3.94526684770839,0.147485337323057,0.442456011969171,0.155964988583454,0.0640136506194795,0.0905428435921265,3.44494212700953,9.8607313033941,0.072195727167401,0.0356946277709273,0.108700544142987,0.0721920095882892,11,6.45456163
"15","ML12","ML",66485.6884090261,4.82272816990608,2.081639792965,4.56491721882066,0.879122761905248,0.375774375833333,112.550052682778,0.351949750944444,1.37210984503037,3.80260392121049,0.783648231226587,2.73589431519648,1.217377930744,2.92197485676661,5,-2.03448666529768,-2.10565374711783,-1.62942995544588,0.661369867498458,3.30684933749229,0.481998037640593,0.621663067861716,0.428907163130514,0.599797452953601,1.87739386514202,0.361611970885399,0.408322993839209,0.229968943645675,0.446543975171312,18,5.988746182
"16","ML13","ML",205982.691910862,5.31383072947885,1.86274738104317,3.97322651604951,0.931264421262314,0.360411516857143,100.60960521619,0.344806803619048,0.86788307867104,2.64602709595126,1.07560991945092,2.73589431519648,1.15446264795907,2.92197485676661,6,-1.18110206849844,-1.14814995794613,-1.18347949997924,0.736003391978255,4.41602035186953,0.508467595890742,0.725948931383567,0.484401046196303,1.54006760498725,-0.854398706471398,0.332983060226836,0.267687183237423,0.315437936664464,0.41582406077862,21,7.119551615
"17","ML14","ML",112021.013545512,5.04929949776704,1.45272702886319,2.52651464207581,0.703368113938327,0.471888786142857,92.1786216185714,0.406599553857143,0.664977927937195,3.07243449452339,0.495199762731687,1.55808142882234,0.916569909869038,2.91232854880468,5,-1.52461707964773,-1.47601099112742,-1.17955422244299,0.692175315471196,3.46087657735598,0.308266972651837,0.511029246584583,0.493377490472149,2.20399705619168,5.0293774580101,0.261987042064124,0.270686874579035,0.146439580669392,0.368834670943944,16,6.510445944
"18","ML15","ML",171058.667379238,5.23314508436504,1.72750633018456,4.3997156079586,0.704423150049662,0.448022073941176,115.879129231176,0.367976058,1.11127456061428,3.82211102987958,0.767754663150095,2.57946024065743,0.866774938468407,2.92197485676661,7,-2.44805685897356,-0.551843919155261,-2.95518564173889,0.778826315333619,5.45178420733534,0.50899429742004,0.72537395622035,0.27450991269939,0.337651766604796,-0.170880894285483,0.331255341259772,0.392766946927991,0.233938675301719,0.367060401549606,17,6.933766051
"19","ML21","ML",137692.493998807,5.13891026630087,1.03768212555411,0.533767906742194,0.686298807153401,0.440628833,118.32883114,0.3757603956,0.532053186636273,1.91585766926416,0.22851314859682,0.814733016987614,0.822876584593429,2.42726671516392,11,0.357859819821879,1.27713477162973,0.52422761418706,0.866571067565927,9.53228174322519,0.651757071720106,0.773078359696463,0.578625236048064,0.144745462696299,2.39823585944691,0.197108733532657,0.191148617216682,0.0732453486762168,0.326932234705071,15,6.534460807
"20","ML22","ML",140734.333206276,5.14840005978792,1.22218498378616,5.18001493465409,0.670369185556291,0.401341132384615,117.492084536154,0.353374006461538,0.533165272176386,2.10278792386833,0.573335632522802,3.91807042476653,0.821542540067897,2.37074047392796,13,0.582561797203254,0.515329676118974,0.398590003130747,0.833381891805132,10.8339645934667,0.672563776004588,0.766397774751286,0.536273475310492,0.210630803257427,0.342239172694805,0.231672378880142,0.158993050591615,0.211305406089972,0.324718679958838,18,6.556311864
"21","ML23","ML",215984.302342367,5.33442218793877,1.03796947171793,1.38423772526424,0.638600490104838,0.412426991333333,112.988797868333,0.3704704235,0.39247170734399,1.56316360363061,0.462408707792186,1.56493509326222,0.794240069704894,2.91232854880468,12,-1.41785229804079,-0.593188720313974,-2.29335636291048,0.789092946340379,9.46911535608455,0.178087592316068,0.75321847862483,0.335265177191317,0.565252868336029,-0.727765306434723,0.20990401287401,0.137206369646803,0.151802985781453,0.340702683193773,16,6.984643643
"22","ML24","ML",112832.045490933,5.05243246137943,1.2773438332445,1.8451471411739,0.83950181854637,0.369795499,135.26671735,0.347292910375,0.808976498603471,2.04620900646937,0.470061344011699,1.8361118288227,0.797660686332308,2.01527178678181,15,-0.952440638430771,-0.226060492814584,-1.6570065277359,0.805388591920894,12.0808288788134,0.610948491748235,0.756099165880949,0.369917258317579,-1.18906866384717,0.670509595518004,0.232228625229114,0.232867606796105,0.154760096278788,0.30905817261245,19,6.335338302
"23","ML25","ML",100758.099777922,5.0032799684356,1.28941326774907,1.71610596379055,0.816165905822336,0.443615378777778,62.2439858244444,0.390472317555556,0.118129292885911,0.572355492011286,1.10331816849745,3.91807042476653,0.616796130799161,2.37074047392796,8,-0.551385709708298,-0.2361105192057,-0.0985599473785839,0.799140645612898,6.39312516490318,0.253334878524907,0.597004262230103,0.57021158374257,4.56125029387493,5.9684650154107,0.191484646420958,0.0369201813737288,0.309656645296018,0.227877112593127,15,6.222160505
